algorithm,run_no,status,seed,runtime_seconds,posterior_sample_generation_seconds,td_proposal_fit_or_train_seconds,rjmcmc_sampling_seconds,acceptance_rate,chain_prob_k1,chain_prob_k2,estimated_prob_k1,estimated_prob_k2,importance_samples,output_stem,log_path,error
FactorAnalysisModelVINF,1,completed,960941037,3074.352794000064,,1879.6301102000289,1194.7226838000352,0.2391242721749297,0.89261,0.10739,,,,FA_FactorAnalysisModelVINF_N8000_pyMC_run1_nightly_NS100000,data\raw\nightly_fa_vinf_vs_vinfis_n8000\logs\FA_FactorAnalysisModelVINF_N8000_pyMC_run1_nightly_NS100000.log,
FactorAnalysisModelVINFIS,1,completed,960941037,1925.145466499962,,1104.454103600001,820.691362899961,0.5627340714501806,0.87996,0.12004,0.8934743614947237,0.10652563850533034,4000,FA_FactorAnalysisModelVINFIS_N8000_pyMC_run1_nightly_NS100000,data\raw\nightly_fa_vinf_vs_vinfis_n8000\logs\FA_FactorAnalysisModelVINFIS_N8000_pyMC_run1_nightly_NS100000.log,
FactorAnalysisModelVINF,2,completed,2135581874,2056.465713399928,,1100.6666896999814,955.7990236999467,0.21349175971997844,0.77248,0.22752,,,,FA_FactorAnalysisModelVINF_N8000_pyMC_run2_nightly_NS100000,data\raw\nightly_fa_vinf_vs_vinfis_n8000\logs\FA_FactorAnalysisModelVINF_N8000_pyMC_run2_nightly_NS100000.log,
FactorAnalysisModelVINFIS,2,completed,2135581874,1936.9118479999015,,1112.5602325999644,824.3516153999371,0.49155387911972676,0.77277,0.22723,0.8929945344864393,0.10700546551351477,4000,FA_FactorAnalysisModelVINFIS_N8000_pyMC_run2_nightly_NS100000,data\raw\nightly_fa_vinf_vs_vinfis_n8000\logs\FA_FactorAnalysisModelVINFIS_N8000_pyMC_run2_nightly_NS100000.log,
FactorAnalysisModelVINF,3,completed,2131554306,2073.208626799984,,1107.0053477999754,966.2032790000085,0.22462505191011325,0.90042,0.09958,,,,FA_FactorAnalysisModelVINF_N8000_pyMC_run3_nightly_NS100000,data\raw\nightly_fa_vinf_vs_vinfis_n8000\logs\FA_FactorAnalysisModelVINF_N8000_pyMC_run3_nightly_NS100000.log,
FactorAnalysisModelVINFIS,3,completed,2131554306,1933.0530385000166,,1110.2045789000113,822.8484596000053,0.5543456535544169,0.8953,0.1047,0.8993570329582914,0.10064296704168844,4000,FA_FactorAnalysisModelVINFIS_N8000_pyMC_run3_nightly_NS100000,data\raw\nightly_fa_vinf_vs_vinfis_n8000\logs\FA_FactorAnalysisModelVINFIS_N8000_pyMC_run3_nightly_NS100000.log,
FactorAnalysisModelVINF,4,completed,820359671,2063.9263062999817,,1098.787565400009,965.1387408999726,0.2359907172168122,0.89848,0.10152,,,,FA_FactorAnalysisModelVINF_N8000_pyMC_run4_nightly_NS100000,data\raw\nightly_fa_vinf_vs_vinfis_n8000\logs\FA_FactorAnalysisModelVINF_N8000_pyMC_run4_nightly_NS100000.log,
FactorAnalysisModelVINFIS,4,completed,820359671,1931.1828259999165,,1112.7650505999336,818.4177753999829,0.5707475876913608,0.89828,0.10172,0.8954306723245867,0.10456932767540875,4000,FA_FactorAnalysisModelVINFIS_N8000_pyMC_run4_nightly_NS100000,data\raw\nightly_fa_vinf_vs_vinfis_n8000\logs\FA_FactorAnalysisModelVINFIS_N8000_pyMC_run4_nightly_NS100000.log,
FactorAnalysisModelVINF,5,completed,2047814545,2063.117032099981,,1100.7307157999603,962.3863163000206,0.22994958310273822,0.87279,0.12721,,,,FA_FactorAnalysisModelVINF_N8000_pyMC_run5_nightly_NS100000,data\raw\nightly_fa_vinf_vs_vinfis_n8000\logs\FA_FactorAnalysisModelVINF_N8000_pyMC_run5_nightly_NS100000.log,
FactorAnalysisModelVINFIS,5,completed,2047814545,1934.7588868999155,,1111.8325986999553,822.9262881999603,0.5150577317755214,0.82637,0.17363,0.9009061998168809,0.09909380018316986,4000,FA_FactorAnalysisModelVINFIS_N8000_pyMC_run5_nightly_NS100000,data\raw\nightly_fa_vinf_vs_vinfis_n8000\logs\FA_FactorAnalysisModelVINFIS_N8000_pyMC_run5_nightly_NS100000.log,
