algorithm,run_no,n_samples,algorithm_suffix,flow_device,flow_num_samples,flow_hidden_layer_size,flow_annealing,runtime_seconds,resumed,model2_probability_mean,model2_probability_final_running,accepted_move_rate,ess_model2_indicator
ToyModelAF,1,10000,gpuanneal_fresh_,,,,,41.692226300016046,False,0.7659,0.7659,0.7240724072407241,277.05407877616426
ToyModelNF,1,10000,gpuanneal_fresh_,,,,,85.81527899997309,False,0.7414,0.7414,0.7022702270227023,958.627336591051
ToyModelPerfect,1,10000,gpuanneal_fresh_,,,,,36.8521749000065,False,0.7553,0.7553,0.6433643364336433,4899.952250737954
ToyModelVINF,1,10000,gpuanneal_fresh_,cuda,64,128,True,418.5917107000132,False,0.7525,0.7525,0.7231723172317231,976.0846112546341
ToyModelAF,2,10000,gpuanneal_fresh_,,,,,34.54583449999336,False,0.7026,0.7026,0.756975697569757,141.4953548040634
ToyModelNF,2,10000,gpuanneal_fresh_,,,,,82.91583680000622,False,0.7622,0.7622,0.7152715271527152,945.9822680897053
ToyModelPerfect,2,10000,gpuanneal_fresh_,,,,,33.56937119999202,False,0.7435,0.7435,0.6331633163316331,4774.863595876036
ToyModelVINF,2,10000,gpuanneal_fresh_,cuda,64,128,True,46.901819200022146,False,0.7435,0.7435,0.7185718571857186,1339.2285202026158
ToyModelAF,3,10000,gpuanneal_fresh_,,,,,35.28608530003112,False,0.7584,0.7584,0.7783778377837783,99.82178285307623
ToyModelNF,3,10000,gpuanneal_fresh_,,,,,85.08398529997794,False,0.7482,0.7482,0.7013701370137013,1026.8953953597618
