algorithm,run_no,n_samples,algorithm_suffix,flow_device,flow_num_samples,flow_hidden_layer_size,flow_annealing,runtime_seconds,resumed,model2_probability_mean,model2_probability_final_running,accepted_move_rate,ess_model2_indicator
ToyModelAF,1,10000,gpuanneal_,,,,,,,0.7659,0.7659,0.7240724072407241,277.05407877616426
ToyModelNF,1,10000,gpuanneal_,,,,,,,0.7414,0.7414,0.7022702270227023,958.627336591051
ToyModelPerfect,1,10000,gpuanneal_,,,,,,,0.7553,0.7553,0.6433643364336433,4899.952250737954
ToyModelVINF,1,10000,gpuanneal_,cuda,64,128,True,,,0.7525,0.7525,0.7231723172317231,976.0846112546341
ToyModelAF,2,10000,gpuanneal_,,,,,,,0.7026,0.7026,0.756975697569757,141.4953548040634
ToyModelNF,2,10000,gpuanneal_,,,,,,,0.7622,0.7622,0.7152715271527152,945.9822680897053
ToyModelPerfect,2,10000,gpuanneal_,,,,,,,0.7435,0.7435,0.6331633163316331,4774.863595876036
ToyModelVINF,2,10000,gpuanneal_,cuda,64,128,True,,,0.7435,0.7435,0.7185718571857186,1339.2285202026158
ToyModelAF,3,10000,gpuanneal_,,,,,,,0.7584,0.7584,0.7783778377837783,99.82178285307623
ToyModelNF,3,10000,gpuanneal_,,,,,,,0.7482,0.7482,0.7013701370137013,1026.8953953597618
ToyModelPerfect,3,10000,gpuanneal_,,,,,,,0.7464,0.7464,0.6310631063106311,5038.669975789115
ToyModelVINF,3,10000,gpuanneal_,cuda,64,128,True,,,0.7517,0.7517,0.7224722472247225,899.8054313179691
ToyModelAF,4,10000,gpuanneal_,,,,,,,0.7695,0.7695,0.7571757175717572,142.3189783607169
ToyModelNF,4,10000,gpuanneal_,,,,,,,0.767,0.767,0.7156715671567156,1249.308586103685
ToyModelPerfect,4,10000,gpuanneal_,,,,,,,0.7516,0.7516,0.6292629262926293,5302.920914119807
ToyModelVINF,4,10000,gpuanneal_,cuda,64,128,True,,,0.7654,0.7654,0.7272727272727273,989.4305792507676
ToyModelAF,5,10000,gpuanneal_,,,,,,,0.7502,0.7502,0.6871687168716871,222.70829432754695
ToyModelNF,5,10000,gpuanneal_,,,,,,,0.764,0.764,0.7029702970297029,1238.4927529973113
ToyModelPerfect,5,10000,gpuanneal_,,,,,,,0.7446,0.7446,0.6290629062906291,4938.399846371017
ToyModelVINF,5,10000,gpuanneal_,cuda,64,128,True,,,0.7439,0.7439,0.7152715271527152,1071.7656521185825
ToyModelAF,6,10000,gpuanneal_,,,,,,,0.7383,0.7383,0.7232723272327233,101.07548544785342
ToyModelNF,6,10000,gpuanneal_,,,,,,,0.7444,0.7444,0.7091709170917092,1010.0696370642653
ToyModelPerfect,6,10000,gpuanneal_,,,,,,,0.7611,0.7611,0.6471647164716472,4784.0833009993485
ToyModelVINF,6,10000,gpuanneal_,cuda,64,128,True,,,0.7353,0.7353,0.7235723572357236,774.695049003287
ToyModelAF,7,10000,gpuanneal_,,,,,,,0.764,0.764,0.7196719671967197,296.85388556975937
ToyModelNF,7,10000,gpuanneal_,,,,,,,0.7545,0.7545,0.7068706870687068,953.5345861663683
ToyModelPerfect,7,10000,gpuanneal_,,,,,,,0.7567,0.7567,0.6398639863986398,4874.942053748017
ToyModelVINF,7,10000,gpuanneal_,cuda,64,128,True,,,0.7527,0.7527,0.723972397239724,941.2806210667374
ToyModelAF,8,10000,gpuanneal_,,,,,,,0.6828,0.6828,0.6755675567556756,322.93327260971665
ToyModelNF,8,10000,gpuanneal_,,,,,,,0.7358,0.7358,0.6936693669366937,1161.746769344276
ToyModelPerfect,8,10000,gpuanneal_,,,,,,,0.7485,0.7485,0.6354635463546354,4721.659922417058
ToyModelVINF,8,10000,gpuanneal_,cuda,64,128,True,,,0.7121,0.7121,0.7121712171217122,944.929683560988
ToyModelAF,9,10000,gpuanneal_,,,,,,,0.7718,0.7718,0.6716671667166717,422.3968540989698
ToyModelNF,9,10000,gpuanneal_,,,,,,,0.7383,0.7383,0.7032703270327033,842.9027283728515
ToyModelPerfect,9,10000,gpuanneal_,,,,,,,0.7542,0.7542,0.6337633763376338,4999.702864197756
ToyModelVINF,9,10000,gpuanneal_,cuda,64,128,True,,,0.742,0.742,0.7238723872387238,1046.4752334860138
ToyModelAF,10,10000,gpuanneal_,,,,,,,0.7205,0.7205,0.7531753175317532,319.5582757972287
ToyModelNF,10,10000,gpuanneal_,,,,,,,0.77,0.77,0.7223722372237223,1246.842970481866
ToyModelPerfect,10,10000,gpuanneal_,,,,,,,0.7407,0.7407,0.6384638463846385,4897.669294597829
ToyModelVINF,10,10000,gpuanneal_,cuda,64,128,True,,,0.7015,0.7015,0.7156715671567156,568.8786906022376
